TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_4Huh7_INS_MEK_c05rB,,,,1,,,,,,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23358,3298,12975,733,532,307,23946,752,117,22001,238,2317,713,3682,27991,1178,575,5507
BOOLY_4Huh7_INS_IKK_c05rD,,,,1,,,,,,1,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16181,4196,8270,291,307,106,22838,806,42,1513,132,952,801,3890,18472,1174,258,4971
BOOLY_4Huh7_INS_PI3K+MEK_c05rE,,,,1,,,,,,1,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10652,2606,7186,581,431,256,12505,750,142,12248,180,2814,664,2194,27640,1212,519,4794
BOOLY_4Huh7_INS_MEK+IKK_c05rF,,,,1,,,,,,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20692,2115,10835,624,460,232,22614,773,79,3678,145,1150,881,3652,28170,1461,627,4661
BOOLY_4Huh7_INS_IKK+PI3K_c05rG,,,,1,,,,,,1,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3022,5036,4283,298,290,107,7431,752,46,1503,138,1053,947,2195,21234,1312,275,4908
BOOLY_4Huh7_INS_PI3K+MEK+IKK_c05rH,,,,1,,,,,,1,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8476,2165,4352,528,426,253,7758,725,74,3863,143,956,911,2130,27430,1521,575,3804
BOOLY_4Huh7_TNFa_NOINH_c06rA,,,,1,,,,,,,1,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6084,7034,8968,1609,2226,1818,24293,1007,80,24545,1410,2503,1881,5975,24212,1412,308,5408
BOOLY_4Huh7_TNFa_PI3K_c06rB,,,,1,,,,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,961,8623,4589,1184,1807,1554,18510,876,78,22527,1144,2606,1768,4543,23984,1066,274,4501
BOOLY_4Huh7_TNFa_MEK_c06rB,,,,1,,,,,,,1,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7570,2156,8739,1547,2936,1825,24317,779,111,26216,910,2565,1625,5447,28280,1471,623,4660
BOOLY_4Huh7_TNFa_IKK_c06rD,,,,1,,,,,,,1,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4942,8224,5469,638,782,1115,19510,965,44,12208,628,832,900,3995,24546,1170,298,3911
BOOLY_4Huh7_TNFa_PI3K+MEK_c06rE,,,,1,,,,,,,1,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1981,2418,2362,1390,2321,1977,14917,867,115,25399,890,3286,1594,3873,27926,1798,635,5406
BOOLY_4Huh7_TNFa_MEK+IKK_c06rF,,,,1,,,,,,,1,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5680,1688,4951,1097,1658,976,18100,607,52,20294,274,893,879,3488,28446,1404,511,3998
BOOLY_4Huh7_TNFa_IKK+PI3K_c06rG,,,,1,,,,,,,1,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,606,9638,3331,1083,806,1158,11438,995,52,13047,512,1072,1030,3124,24881,1488,345,4763
BOOLY_4Huh7_TNFa_PI3K+MEK+IKK_c06rH,,,,1,,,,,,,1,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1249,1957,1335,1091,1208,973,8858,728,62,14619,311,872,939,2267,27945,1383,497,3501
BOOLY_4Huh7_IL1+INS_NOINH_c08rA,,,,1,,,1,,,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23657,8940,10154,1508,5576,2749,24632,1094,75,23568,1609,1890,5766,5866,24394,760,267,4821
