ID:1,ID:2,ID:3,TR:HepG2:CellLine,TR:NOCYTO,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEK12i,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi-Gefin,DA:AKT (75),DA:ERK12 (38),DA:GSK3 (18),DA:Ikb (58),DA:JNK12 (34),DA:p38 (36),DA:p70S6 (55),DA:p90RSK (35),DA:STAT3 (52),DA:cJUN (56),DA:CREB (19),DA:HSP27 (51),DA:IRS1s (76),DA:MEK12 (40),DA:p53 (53),DV:AKT (75),DV:ERK12 (38),DV:GSK3 (18),DV:Ikb (58),DV:JNK12 (34),DV:p38 (36),DV:p70S6 (55),DV:p90RSK (35),DV:STAT3 (52),DV:cJUN (56),DV:CREB (19),DV:HSP27 (51),DV:IRS1s (76),DV:MEK12 (40),DV:p53 (53)
X54,F7,PL2_30min_X54_07F_IGF_TGF_PI3K_MEK,1,,1,,1,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22061,167,2410,163,151,101.5,2053.5,219,424,6126,197,252,857.5,12187.5,546
X55,G7,PL2_30min_X55_07G_IL6_IL1a_PI3K_MEK,1,,,1,,1,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1068,173,960,3935,1991,1430,12337.5,241,11667.5,16189,2251,5874,5682.5,9347,1092
X56,H7,PL2_30min_X56_07H_DME_PI3K_MEK,1,1,,,,,,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,158,829,156.5,127,40,707,190.5,412.5,3204.5,175,237,632.5,2376,554
X57,A8,PL2_30min_X57_08A_DME_PI3K_p38,1,1,,,,,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,417,392,217,111.5,63,1568.5,501,254,4066.5,132.5,254,786,3074,544
X58,B8,PL2_30min_X58_08B_TGFa_PI3K_p38,1,,1,,,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,564.5,1605,1264,222,144,66,9145.5,1702,196.5,6186,393,264.5,3050.5,6747.5,510
X59,C8,PL2_30min_X59_08C_IL1a_PI3K_p38,1,,,1,,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,321.5,861,1277.5,4297,1934,813,14310,987.5,106,17479,1759,1061,5862.5,5688.5,1027.5
X60,D8,PL2_30min_X60_08D_IGF_PI3K_p38,1,,,,1,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9005,427,1858.5,178,146,55,2411,519,257.5,4327.5,180,301.5,1137.5,2734,495
X61,E8,PL2_30min_X61_08E_IL6_PI3K_p38,1,,,,,1,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,403,980,936.5,176,159,152,4853.5,1081,14514,5964.5,304,258,2032,3954.5,530
X62,F8,PL2_30min_X62_08F_IGF_TGF_PI3K_p38,1,,1,,1,,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10860,2468,2599,211,175,93,12486,1916,184,6611,755,280,4504,7590.5,489
X63,G8,PL2_30min_X63_08G_IL6_IL1a_PI3K_p38,1,,,1,,1,,,1,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,260,1373.5,1399,4841.5,1931,1891,14579,1456.5,11591,15359,2557,1234,7211,6552.5,1016.5
X64,H8,PL2_30min_X64_08H_DME_PI3K_p38,1,1,,,,,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.5,370,753.5,187.5,150,64,1608,481,344,4107.5,236,263,1016,3477.5,615
X65,A9,PL2_30min_X65_09A_DME_PI3K_IKK,1,1,,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.5,592,849,98,142,50,1641,643,327.5,2203,128,203,795,2553,619
X66,B9,PL2_30min_X66_09B_TGFa_PI3K_IKK,1,,1,,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,183,1845,682,91.5,131,123,7408,1430,273,2280,410,277,2736,4897.5,616
X67,C9,PL2_30min_X67_09C_IL1a_PI3K_IKK,1,,,1,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,209,928,1135,370,1836,1849,13276,751.5,208,12499,1783,4935,5280,3925,1195
X68,D9,PL2_30min_X68_09D_IGF_PI3K_IKK,1,,,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1711,741,1421,109,129,77,2360,568.5,309,2495,170,241,1042,3248,541
X69,E9,PL2_30min_X69_09E_IL6_PI3K_IKK,1,,,,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,186,1184,998,113,129.5,82,4752,952,15255,3422,270,240,1845.5,3579,683
X70,F9,PL2_30min_X70_09F_IGF_TGF_PI3K_IKK,1,,1,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2496,3054,3201.5,114,168,141,11648,2120,284,4623,873.5,244,4442,7635,827
X71,G9,PL2_30min_X71_09G_IL6_IL1a_PI3K_IKK,1,,,1,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,242,1576,1541.5,232,1769,1427.5,12848,1353.5,10575.5,11290,2328,5341,5844,5721,1013.5
X72,H9,PL2_30min_X72_09H_DME_PI3K_IKK,1,1,,,,,,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.5,511,443,118,114,58,1554.5,531,427,2764.5,117,222,771.5,2978,786
X73,A10,PL2_30min_X73_10A_DME_MEK_p38,1,1,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4449.5,146,370,164.5,111,34,682,236.5,271,1690,111.5,241,576,2151.5,506.5
